recording=232, reason=Recording too short for epoching (length=2.00s, required=5.0s)
recording=235, reason=Recording too short for epoching (length=3.00s, required=5.0s)
recording=238, reason=Recording too short for epoching (length=5.00s, required=5.0s)
recording=478, reason=Recording too short for epoching (length=5.00s, required=5.0s)
recording=1095, reason=Recording too short for epoching (length=5.00s, required=5.0s)
recording=1223, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1226, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1227, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1228, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1231, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1232, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1233, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1234, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1235, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1236, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1237, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1238, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1239, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1243, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1244, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1248, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1249, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1250, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1251, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1253, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1254, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1255, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1257, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1258, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1262, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1264, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1266, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1270, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1272, reason=Recording too short for epoching (length=2.00s, required=5.0s)
recording=1275, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1277, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1278, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1279, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1282, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1296, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1297, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1304, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1305, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1309, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1339, reason=Recording too short for epoching (length=5.00s, required=5.0s)
recording=1889, reason=Recording too short for epoching (length=5.00s, required=5.0s)
recording=1953, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1959, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1960, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1962, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1963, reason=Recording too short for epoching (length=1.00s, required=5.0s)
recording=1968, reason=Recording too short for epoching (length=1.00s, required=5.0s)
