fxdef_id,func,chans,null_count,null_ratio
322,relative_power,F3,2832,1.0
323,relative_power,F4,2832,1.0
324,relative_power,C3,2832,1.0
325,relative_power,C4,2832,1.0
326,relative_power,O1,2832,1.0
327,relative_power,O2,2832,1.0
328,relative_power,F3,2832,1.0
329,relative_power,F4,2832,1.0
330,relative_power,C3,2832,1.0
331,relative_power,C4,2832,1.0
332,relative_power,O1,2832,1.0
333,relative_power,O2,2832,1.0
334,relative_power,F3,2832,1.0
335,relative_power,F4,2832,1.0
336,relative_power,C3,2832,1.0
337,relative_power,C4,2832,1.0
338,relative_power,O1,2832,1.0
339,relative_power,O2,2832,1.0
340,relative_power,F3,2832,1.0
341,relative_power,F4,2832,1.0
342,relative_power,C3,2832,1.0
343,relative_power,C4,2832,1.0
344,relative_power,O1,2832,1.0
345,relative_power,O2,2832,1.0
346,peak_to_peak_amplitude,F3,2832,1.0
347,peak_to_peak_amplitude,F4,2832,1.0
348,peak_to_peak_amplitude,C3,2832,1.0
349,peak_to_peak_amplitude,C4,2832,1.0
350,peak_to_peak_amplitude,O1,2832,1.0
351,peak_to_peak_amplitude,O2,2832,1.0
352,crest_factor,F3,2832,1.0
353,crest_factor,F4,2832,1.0
354,crest_factor,C3,2832,1.0
355,crest_factor,C4,2832,1.0
356,crest_factor,O1,2832,1.0
357,crest_factor,O2,2832,1.0
358,shape_factor,F3,2832,1.0
359,shape_factor,F4,2832,1.0
360,shape_factor,C3,2832,1.0
361,shape_factor,C4,2832,1.0
362,shape_factor,O1,2832,1.0
363,shape_factor,O2,2832,1.0
364,impulse_factor,F3,2832,1.0
365,impulse_factor,F4,2832,1.0
366,impulse_factor,C3,2832,1.0
367,impulse_factor,C4,2832,1.0
368,impulse_factor,O1,2832,1.0
369,impulse_factor,O2,2832,1.0
370,margin_factor,F3,2832,1.0
371,margin_factor,F4,2832,1.0
372,margin_factor,C3,2832,1.0
373,margin_factor,C4,2832,1.0
374,margin_factor,O1,2832,1.0
375,margin_factor,O2,2832,1.0
376,signal_variance,F3,2832,1.0
377,signal_variance,F4,2832,1.0
378,signal_variance,C3,2832,1.0
379,signal_variance,C4,2832,1.0
380,signal_variance,O1,2832,1.0
381,signal_variance,O2,2832,1.0
382,zero_crossings,F3,2832,1.0
383,zero_crossings,F4,2832,1.0
384,zero_crossings,C3,2832,1.0
385,zero_crossings,C4,2832,1.0
386,zero_crossings,O1,2832,1.0
387,zero_crossings,O2,2832,1.0
388,signal_entropy,F3,2832,1.0
389,signal_entropy,F4,2832,1.0
390,signal_entropy,C3,2832,1.0
391,signal_entropy,C4,2832,1.0
392,signal_entropy,O1,2832,1.0
393,signal_entropy,O2,2832,1.0
394,signal_complexity,F3,2832,1.0
395,signal_complexity,F4,2832,1.0
396,signal_complexity,C3,2832,1.0
397,signal_complexity,C4,2832,1.0
398,signal_complexity,O1,2832,1.0
399,signal_complexity,O2,2832,1.0
400,signal_regularity,F3,2832,1.0
401,signal_regularity,F4,2832,1.0
402,signal_regularity,C3,2832,1.0
403,signal_regularity,C4,2832,1.0
404,signal_regularity,O1,2832,1.0
405,signal_regularity,O2,2832,1.0
406,signal_stability,F3,2832,1.0
407,signal_stability,F4,2832,1.0
408,signal_stability,C3,2832,1.0
409,signal_stability,C4,2832,1.0
410,signal_stability,O1,2832,1.0
411,signal_stability,O2,2832,1.0
412,spectral_entropy,F3,2832,1.0
413,spectral_entropy,F4,2832,1.0
414,spectral_entropy,C3,2832,1.0
415,spectral_entropy,C4,2832,1.0
416,spectral_entropy,O1,2832,1.0
417,spectral_entropy,O2,2832,1.0
418,alpha_peak_frequency,F3,2832,1.0
419,alpha_peak_frequency,F4,2832,1.0
420,alpha_peak_frequency,C3,2832,1.0
421,alpha_peak_frequency,C4,2832,1.0
422,alpha_peak_frequency,O1,2832,1.0
423,alpha_peak_frequency,O2,2832,1.0
424,theta_alpha_ratio,F3,2832,1.0
425,theta_alpha_ratio,F4,2832,1.0
426,theta_alpha_ratio,C3,2832,1.0
427,theta_alpha_ratio,C4,2832,1.0
428,theta_alpha_ratio,O1,2832,1.0
429,theta_alpha_ratio,O2,2832,1.0
430,spectral_edge_frequency,F3,2832,1.0
431,spectral_edge_frequency,F4,2832,1.0
432,spectral_edge_frequency,C3,2832,1.0
433,spectral_edge_frequency,C4,2832,1.0
434,spectral_edge_frequency,O1,2832,1.0
435,spectral_edge_frequency,O2,2832,1.0
436,spectral_centroid,F3,2832,1.0
437,spectral_centroid,F4,2832,1.0
438,spectral_centroid,C3,2832,1.0
439,spectral_centroid,C4,2832,1.0
440,spectral_centroid,O1,2832,1.0
441,spectral_centroid,O2,2832,1.0
442,spectral_bandwidth,F3,2832,1.0
443,spectral_bandwidth,F4,2832,1.0
444,spectral_bandwidth,C3,2832,1.0
445,spectral_bandwidth,C4,2832,1.0
446,spectral_bandwidth,O1,2832,1.0
447,spectral_bandwidth,O2,2832,1.0
448,spectral_rolloff,F3,2832,1.0
449,spectral_rolloff,F4,2832,1.0
450,spectral_rolloff,C3,2832,1.0
451,spectral_rolloff,C4,2832,1.0
452,spectral_rolloff,O1,2832,1.0
453,spectral_rolloff,O2,2832,1.0
454,spectral_flatness,F3,2832,1.0
455,spectral_flatness,F4,2832,1.0
456,spectral_flatness,C3,2832,1.0
457,spectral_flatness,C4,2832,1.0
458,spectral_flatness,O1,2832,1.0
459,spectral_flatness,O2,2832,1.0
460,spectral_skewness,F3,2832,1.0
461,spectral_skewness,F4,2832,1.0
462,spectral_skewness,C3,2832,1.0
463,spectral_skewness,C4,2832,1.0
464,spectral_skewness,O1,2832,1.0
465,spectral_skewness,O2,2832,1.0
466,spectral_kurtosis,F3,2832,1.0
467,spectral_kurtosis,F4,2832,1.0
468,spectral_kurtosis,C3,2832,1.0
469,spectral_kurtosis,C4,2832,1.0
470,spectral_kurtosis,O1,2832,1.0
471,spectral_kurtosis,O2,2832,1.0
472,spectral_complexity,F3,2832,1.0
473,spectral_complexity,F4,2832,1.0
474,spectral_complexity,C3,2832,1.0
475,spectral_complexity,C4,2832,1.0
476,spectral_complexity,O1,2832,1.0
477,spectral_complexity,O2,2832,1.0
