subject_id,stage,feature,median,iqr,n_epochs
SC4001,N1,bp_rel__delta__Fpz-Cz,0.741253835763884,0.1614639483768393,81
SC4001,N2,bp_rel__delta__Fpz-Cz,0.7517318678010814,0.2315892872358158,1158
SC4001,N3,bp_rel__delta__Fpz-Cz,0.734136870959815,0.252432129579331,435
SC4001,REM,bp_rel__delta__Fpz-Cz,0.730660020601422,0.2579961289743321,639
SC4001,W,bp_rel__delta__Fpz-Cz,0.689181943661384,0.1471733615897978,5636
SC4002,N1,bp_rel__delta__Fpz-Cz,0.6947565619887546,0.3194996410566293,81
SC4002,N2,bp_rel__delta__Fpz-Cz,0.687951972366363,0.3097881787762651,1158
SC4002,N3,bp_rel__delta__Fpz-Cz,0.6984990194289288,0.200123333454762,435
SC4002,REM,bp_rel__delta__Fpz-Cz,0.5876523353231518,0.2783068824795072,639
SC4002,W,bp_rel__delta__Fpz-Cz,0.5265429356035077,0.2204384180777333,6009
SC4011,N1,bp_rel__delta__Fpz-Cz,0.7312781926707951,0.1683800837367854,81
SC4011,N2,bp_rel__delta__Fpz-Cz,0.7441879665941032,0.1856598198181344,1158
SC4011,N3,bp_rel__delta__Fpz-Cz,0.7371497787560659,0.2017670759179151,435
SC4011,REM,bp_rel__delta__Fpz-Cz,0.7142192198872122,0.2112313302729009,639
SC4011,W,bp_rel__delta__Fpz-Cz,0.8398769325549968,0.1186206077922351,6009
SC4012,N1,bp_rel__delta__Fpz-Cz,0.8524695481294295,0.1902358717513476,81
SC4012,N2,bp_rel__delta__Fpz-Cz,0.6988916163984643,0.2032412893320051,1158
SC4012,N3,bp_rel__delta__Fpz-Cz,0.776103785812265,0.132809507515379,435
SC4012,REM,bp_rel__delta__Fpz-Cz,0.7135704191650825,0.2080362659585444,639
SC4012,W,bp_rel__delta__Fpz-Cz,0.8263973905863975,0.1032015950850575,6009
SC4021,N1,bp_rel__delta__Fpz-Cz,0.7921986167899366,0.2309882926767261,81
SC4021,N2,bp_rel__delta__Fpz-Cz,0.7321719392103461,0.1994712310411625,1158
SC4021,N3,bp_rel__delta__Fpz-Cz,0.717229289359065,0.1566159904431692,435
SC4021,REM,bp_rel__delta__Fpz-Cz,0.6933857965772026,0.1993204638309375,639
SC4021,W,bp_rel__delta__Fpz-Cz,0.7537201998808275,0.2135787871666455,6009
SC4022,N1,bp_rel__delta__Fpz-Cz,0.8558481229220982,0.1699901735462085,81
SC4022,N2,bp_rel__delta__Fpz-Cz,0.7768861127971178,0.1799266757217688,1158
SC4022,N3,bp_rel__delta__Fpz-Cz,0.749112506667988,0.1347533739162624,435
SC4022,REM,bp_rel__delta__Fpz-Cz,0.7559254481455879,0.1521752209160309,639
SC4022,W,bp_rel__delta__Fpz-Cz,0.8546903869370909,0.1393564829610094,5954
SC4031,N1,bp_rel__delta__Fpz-Cz,0.6306683172980303,0.2063136136164049,81
SC4031,N2,bp_rel__delta__Fpz-Cz,0.6321594806469608,0.2313849444958461,1158
SC4031,N3,bp_rel__delta__Fpz-Cz,0.7014748443641595,0.2437500212354857,435
SC4031,REM,bp_rel__delta__Fpz-Cz,0.5257459226692356,0.1829178170736524,639
SC4031,W,bp_rel__delta__Fpz-Cz,0.5924806485586357,0.2508322895379284,6009
SC4032,N1,bp_rel__delta__Fpz-Cz,0.6974739280984457,0.1919778495438417,81
SC4032,N2,bp_rel__delta__Fpz-Cz,0.5950870788459827,0.2776373411911996,1158
SC4032,N3,bp_rel__delta__Fpz-Cz,0.5637550355133238,0.2209048239770621,435
SC4032,REM,bp_rel__delta__Fpz-Cz,0.5538231726534695,0.2394912083300004,639
SC4032,W,bp_rel__delta__Fpz-Cz,0.6339879004859386,0.2393285806256146,5882
SC4041,N1,bp_rel__delta__Fpz-Cz,0.4408603831029411,0.2163504024411402,81
SC4041,N2,bp_rel__delta__Fpz-Cz,0.4958781092463273,0.1697026441078319,1158
SC4041,N3,bp_rel__delta__Fpz-Cz,0.5773298699209135,0.2026496800473123,435
SC4041,REM,bp_rel__delta__Fpz-Cz,0.4733667913847911,0.2084875010800534,639
SC4041,W,bp_rel__delta__Fpz-Cz,0.6965881310445425,0.213282447925543,5396
SC4042,N1,bp_rel__delta__Fpz-Cz,0.7087015448010134,0.3121461819295015,81
SC4042,N2,bp_rel__delta__Fpz-Cz,0.5294413417501025,0.2935386442621464,1158
SC4042,N3,bp_rel__delta__Fpz-Cz,0.6032215144361791,0.2327733697797516,435
SC4042,REM,bp_rel__delta__Fpz-Cz,0.5057537837562384,0.1927403283864706,639
SC4042,W,bp_rel__delta__Fpz-Cz,0.6577005381445559,0.2147321705740579,6009
SC4051,N1,bp_rel__delta__Fpz-Cz,0.7367085388095762,0.2804261179589862,81
SC4051,N2,bp_rel__delta__Fpz-Cz,0.667250269979397,0.296725709030837,1158
SC4051,N3,bp_rel__delta__Fpz-Cz,0.5910468183759217,0.5318463344845161,435
SC4051,REM,bp_rel__delta__Fpz-Cz,0.6552065085300721,0.4075885341163775,639
SC4051,W,bp_rel__delta__Fpz-Cz,0.8179365309327649,0.1307778593423579,5852
SC4052,N1,bp_rel__delta__Fpz-Cz,0.6449668616161356,0.179048226095539,81
SC4052,N2,bp_rel__delta__Fpz-Cz,0.5674422604903565,0.2730400538343751,1158
SC4052,N3,bp_rel__delta__Fpz-Cz,0.6294607098849624,0.2456600683494328,435
SC4052,REM,bp_rel__delta__Fpz-Cz,0.6106604762232726,0.2428574183120856,639
SC4052,W,bp_rel__delta__Fpz-Cz,0.7200080730164305,0.2549944373069766,6009
SC4061,N1,bp_rel__delta__Fpz-Cz,0.5906919240336121,0.1794766137918621,81
SC4061,N2,bp_rel__delta__Fpz-Cz,0.6059846750404545,0.2469315341444617,1158
SC4061,N3,bp_rel__delta__Fpz-Cz,0.7695611935629272,0.2483800171422465,435
SC4061,REM,bp_rel__delta__Fpz-Cz,0.6026487823084662,0.2068972390334077,639
SC4061,W,bp_rel__delta__Fpz-Cz,0.5621686149787102,0.2348454619768921,5996
SC4062,N1,bp_rel__delta__Fpz-Cz,0.8908651750105618,0.1254085242868902,81
SC4062,N2,bp_rel__delta__Fpz-Cz,0.684987912335121,0.2223215437260534,1158
SC4062,N3,bp_rel__delta__Fpz-Cz,0.6717586752826495,0.1757387478141295,435
SC4062,REM,bp_rel__delta__Fpz-Cz,0.5875008781436276,0.2609061780210385,639
SC4062,W,bp_rel__delta__Fpz-Cz,0.7293858584547771,0.1625172920326034,6009
SC4071,N1,bp_rel__delta__Fpz-Cz,0.5945291661586355,0.2148108541311643,81
SC4071,N2,bp_rel__delta__Fpz-Cz,0.5835889975075095,0.2682040499594597,1158
SC4071,N3,bp_rel__delta__Fpz-Cz,0.5972230343184219,0.2065952364202695,435
SC4071,REM,bp_rel__delta__Fpz-Cz,0.5916303402409082,0.1986520977601381,639
SC4071,W,bp_rel__delta__Fpz-Cz,0.6832087193979746,0.2767424484925329,6009
SC4072,N1,bp_rel__delta__Fpz-Cz,0.485796372898769,0.3357472728161998,81
SC4072,N2,bp_rel__delta__Fpz-Cz,0.5118896572497005,0.2817598461618432,1158
SC4072,N3,bp_rel__delta__Fpz-Cz,0.4249099157219446,0.1854980761741476,435
SC4072,REM,bp_rel__delta__Fpz-Cz,0.5860393708256784,0.2907350451895611,639
SC4072,W,bp_rel__delta__Fpz-Cz,0.4971444445125244,0.3313303449614604,5996
SC4081,N1,bp_rel__delta__Fpz-Cz,0.73386630115609,0.1514632270167816,81
